text,labels
"Improvement of the town centre in Šempeter pri Gorici - Phase 3 <p/> Investor <p/> Municipality of Šempeter-Vrtojba <p/> Brief description of the project <p/> The Phase 3 project provides for the continuation of the improvement of the town centre of Šempeter pri Gorici and includes the improvement of the roads and streets connected to Ivan Rob Square. The operation focuses on the renovation and layout of sewers, public lighting, resurfacing of roadways, cycle paths and pavements, urban furnishings, etc., following a competitive solution and architectural coordination of traffic layout and signalling. The following will be the subject of the development: the layout of a one-way road on the section of Vrtojbene Road B1 to B13, the construction of a one-way road on the section of Vrtojbene Road C2 to C9, the layout of part of the Prekomorskih Brigade Road and part of the Street of Fallen Fighters, and the construction of a two-way cycle lane between Goriške fronte Street and Street of Fallen Fighters. This will complete the Operation for the rehabilitation of public infrastructure in the centre of the urban settlement of Šempeter pri Gorici. <p/> What has been done so far <p/> In Phase 1, the municipality has already laid out the road and utilities infrastructure on the Prekomorskih Brigade Road on the section A5 to A18. <p/> Phase 2 of the redevelopment of Šempeter pri Gorici town centre included the redevelopment of the town centre, or ""town centre"". The first phase of the project consisted of the redevelopment of Sempeter's main street, i.e. Ivan Rob Square and the associated municipal infrastructure, cycle paths, pavements with ramps for the disabled and pedestrian zones in the main part of the square, the redevelopment of the Street of Fallen Fighters, the resurfacing and improvement of the pedestrian and cycle paths on the connecting road between Prekomorskih Brigade Road and Ivan Rob Square, Goriška fronte Road and part of the path to Coronini's Manor, as well as the renovation of the church wall and the church staircase. <p/> Call for proposals: <p/> 6th Call for proposals - Operational Programme for Strengthening Regional Development Potentials 2007-2013 of the Development Priority ""Development of Regions"" for the period 2012-2014 <p/> Project value: 946.€144.34 <p/> Value of EU funds to be received by the municipality: €386.427.74 Municipal participation: €559.716.60 Duration of the project.",Information/Explanation
"Objectives and subject-specific competences: The focus is on understanding the complexity of both the theoretical and practical efforts to integrate Europe in a historical context. The aim of the course is for students to acquire in-depth knowledge and competences - using analytical and comparative methods - on the history of European integration processes, on EU bodies and institutions, on EU policies, on the specificities of the European model of society. By understanding the EU's contextual values and objectives, they also acquire the ability and competences to critically evaluate the specificities of the EU within a global society. <p/> The genesis of ideas about European integration in terms of its objectives: integration for peace integration as a supranationality for collective security integration as a precondition for free trade and transport integration from a functionalist perspective.",Information/Explanation
"Deliverability <p/> Price <p/> Price <p/> € 33,00 <p/> Quantity <p/> With the compression bag, the new packed parachute takes up less space and is protected from sweat, while the flatter pack makes it more comfortable to carry in your backpack. The bag has a valve to squeeze out excess air. <p/> Details <p/> 100% waterproof, protects the parachute from sweat and dirt <p/> Weight: approx. 120 g <p/> Capacity: approx. 30 l",Promotion
"I upload an image to TPicture, then I would like to flip it 90 degrees and stick one transparent image (e.g. logo) on it ? <p/> Use Tbitmap.scanline and copy the image into another one with the coordinates reversed to make it inverted. Otherwise, Efg's lab is your saviour: http://www.efg2.com/Lab/ <p/> Last edited by JernejL on 11 Feb 2007 19:49:15, edited 1 time in total.",Forum
"Deputies disunited on the bill on the construction of a hydroelectric power plant on the middle Sava <p/> K.E. <p/> The deputy groups did not have united positions in today's first reading of the bill on the method of construction of infrastructure and the conditions of the concession for the exploitation of the energy potential of the middle Sava River, tabled by Ivan Hršak from the DeSUS. In addition to DeSUS, SDS and NSi expressed their support for the bill. <p/> According to Tomaž Lisec of SDS, such a law is a necessary condition if Slovenia wants to talk seriously about energy self-sufficiency and renewable energy sources. The SDS would like to see the law adopted in the current mandate, as the non-operation of hydroelectric power plants is a loss for the budget. <p/> A different view is held in the Left Party, where, according to Violeta Tomić, they agree that the replacement of fossil fuels by renewable sources is not possible without the construction of large hydroelectric power plants. However, they are convinced that the construction on the middle Sava River has not yet taken place solely because the concession contract has not yet been concluded. <p/> The DZ will vote today on whether the proposal is suitable for further consideration.",News
"My living room soothes me <p/> I decided to write a little about my favourite room. Since I am a man, it is definitely not the kitchen but the living room. Probably every one of us has a room in which we relax the best and easiest, and for me it's definitely my living room, which I have furnished to suit my needs. I remember that when I was buying a new living room, I spent an enormous amount of time, because I was quite a demanding buyer. Every man will probably agree that there is nothing better than half-lounging in front of the television in your living room and enjoying watching football, laughing while listening to politicians or simply watching one of the popular science channels. I have the habit of sometimes using my living room for reading, because I like to read a lot. It is also the case in our house that the living room is where we spend most of our time when we are not working, of course. But I am one of those people who does not like to visit my living room, because I am of the opinion that living rooms are in a way too private a place to invite friends into. After all, there is nothing more reassuring to me than being able to lie down in front of the television in my living room in just my underpants. <p/> Living room ideas <p/> Sometimes a friend asks me where I got the idea for my original living room. My living room is custom-made, and most of the time it's a collection of all the best ideas I've got from different furniture catalogues. I have to admit that I like the Scandinavian type of furniture because everything is made of wood, and that's what my living room is. Wooden living rooms are something special for me. It is the wood that gives the living room warmth and makes it feel homely. <p/> Sometimes you can get a good idea in the furniture showrooms themselves. Maybe you should go to a furniture showroom on a Saturday morning and see what kind of living rooms they have on display. Sometimes you will get an incredible amount of ideas. But I recommend you go to the bigger centres where there will be dozens of living rooms on display. <p/>This entry was posted in Home and Garden and tagged living rooms. Bookmark the permalink.",Opinion/Argumentation
"International Tourist Guide Day <p/> 21 Feb - 7 Mar 2021 <p/> From 21 February 2021 onwards, free virtual guided tours will take place as part of International Tourist Guide Day. <p/> Since 1990, 21 February has been celebrated as World Tour Guides Day on the initiative of the World Federation of Tour Guides Associations (WFTGA). On this day, tour guides organise guided tours in different locations with the aim of introducing the activity and the profession of tour guide to a wider public. <p/> Last year, the ASSOCIATION OF TOURIST GUIDES OF KRASA AND BRKINA organised 14 promotional events - guided tours. <p/> This year, the International Tourist Guides Day will be celebrated with virtual guided tours, which will be organised on the Tourist Guides of the Karst and Brkini region FB page from 21 February onwards.",News
"Multicreen <p/> A large screen or multiple screens are highly recommended For better use of space, it is possible to manually move the boundaries so that menus can be hidden and forms dynamically enlarged, reduced depending on where the data is being viewed and entered. Very useful functionality especially for accountants and dispatchers <p/> Search <p/> Logged in user",Promotion
"Press releases <p/> Yesterday, Monday, 13 February 2012, in the meeting room of the Mayor of the Municipality of Velenje, a meeting of the Council for Improving the Safety of Citizens in the Municipality of Velenje was held. The meeting was chaired by the Chairman of the Council, the Mayor of the Municipality of Velenje Bojan Kontič. <1. Opening hours of bars in the Municipality of Velenje 2. Accommodation of workers who will work on the TEŠ 6 project 3. Under the first agenda item (Opening hours of restaurants in the municipality of Velenje), the Mayor of the Municipality of Velenje, Mr Bojan Kontič, presented the dilemmas that arise in connection with extending the opening hours of restaurants, because on the one hand, citizens want peace and quiet at night, and young people want open restaurants where they can have fun. Extended opening hours are, of course, also important for catering businesses for business reasons. According to the Catering Act, the approval of opening hours for catering establishments is the responsibility of the local authority, which can also withdraw or not grant approval at all. <p/> Catering establishments serving food and drink (restaurants, pubs, cafés, patisseries, cafeterias, snack bars and bars), located in buildings with flats or in buildings in a residential area intended for living and ancillary activities, may only operate between 6 a.m. and 10 p.m. Operating outside these hours shall be considered as extended opening hours, for which the caterer must obtain the written consent of the local authority. The relevant local authority shall decide on this on the basis of the adopted criteria laid down in the Rules on the criteria for determining the extended opening hours of catering establishments and farms catering in the municipality of Velenje. The Rules lay down the procedures and conditions for obtaining approval for extended opening hours, as well as the procedures and conditions for withdrawing such approval. The Municipal Regulation also obliges caterers to carry out their activities in such a way that they do not disturb the environment. <p/> According to Alenka Rednjak, Head of the Investment and Development Office, the Municipality of Velenje is in the process of amending the municipal regulations to provide that the opinion of the district or local community in whose area the restaurant is located is to be taken into account when issuing a consent for extended opening hours. <p/> Mayor Bojan Kontič informed the attendees that the Velenje Police Station had submitted two proposals to the Velenje Municipality for the cancellation of the extended opening hours, namely for Bar Max Klub, s.p. (Šaleška cesta 3, Velenje), where the opening hours are Monday to Thursday from 10 pm to 1 am and on Fridays and Saturdays from 10 pm to 5 am, and for Pit Stop bar (Celjska cesta 2, Velenje), where the bar is open 24 hours. According to the Velenje Police Station, the above-mentioned bars have had to intervene several times due to public order violations, including fights, and occasionally the detention of offenders. <p/> Drago Alenc, Commander of the Velenje Police Station, explained that due to the extended opening hours of the restaurants, problems and violations occur mainly in the vicinity of the Red Hall, where the restaurants are open until 3 or 5 am. Police officers note that after the closure of the Red Hall, guests go to the Pit Stop bar, which is across the road by the petrol station. For the safety of pedestrians on the road, police officers are repeatedly carrying out enhanced traffic controls on this stretch of road, as pedestrians are crossing the road in this part of the carriageway, which is not illuminated and in a place where there is no marked pedestrian crossing. Police officers note that many pedestrians are under the influence of alcohol. The Velenje Police Station considers that the frequent violations, which are mostly recorded at night on Fridays, Saturdays and Sundays, are a problem for public order, traffic and general safety in this part of the city. <p/> The Director of the Municipal Administration, Andreja Katič, pointed out that the request for more police officers should be re-submitted to the line ministry. <p/> The Mayor of Velenje, Bojan Kontič, said that on the basis of the proposal of the Velenje Police Station to cancel the extended opening hours of the Max Klub, s.p. bar and the Pit Stop bar, the Velenje Municipality had cancelled the consent for the extended opening hours of the above-mentioned establishments.<p/> The Mayor of Velenje, Bojan Kontič, said that the Municipality of Velenje had also cancelled the opening hours of the Max Klub, s.p. bar and the Pit Stop bar. The owner of the Pit stop bar appealed against the revocation of the consent and, following the new measures, provided more adequate security for the bar and was granted a new consent for extended opening hours by the municipality. However, Bar Max Klub, s.p., only has consent for extended opening hours at weekends, when concerts are held in the bar. <p/> The mayor pointed out that the municipality had not yet made a final decision on the issue of consents for extended opening hours for the bars in the Red Hall Velenje, as they wanted to find a compromise with the owners of the bars so that they could be open at night and at the same time would not violate the Act on Public Order and the Ordinance on General Order in the Municipality of Velenje. <p/> Under the second item on the agenda (Accommodation of workers to be employed in the TEŠ 6 project), the Director of the Šoštanj Thermal Power Plant Unit 6 Project, Mr. Miran Žgajner presented the project, which represents a new chapter in Slovenia's energy supply and is currently Slovenia's largest energy investment. It is a modern, highly efficient unit that will gradually replace the existing units. He stressed that Unit 6 is a replacement and not an additional generating facility, which is being built to provide more environmentally friendly electricity at a competitive price. The construction of Block 6 does not represent an additional encroachment on the site, as it will be built on the existing site. Of course, all the measures required by the Environmental Impact Report will also be implemented during construction. The construction of the 600 MW Block 6 will take until 2014. <p/> Mayor Bojan Kontič pointed out that the members of the Council, who act as a preventive body in this environment, would like to know in particular the number of workers who will be living in the valley during the construction of the block. In this way, the institutions could also prepare themselves for a larger number of clients. <p/> Mag. Mr Žgajner said that during the most intensive works, there would be between 1,500 and 1,800 workers on site, most of them foreigners. Those responsible for the construction of the unit have further increased security on site, as each worker will now have his or her own photo identification card. This will limit free movement on the site and ensure that workers can be properly identified off-site. In the coming days, Termoelektrarna Šoštanj will also conclude an agreement with PV Invest on mutual cooperation in organising accommodation for workers. <He added that road traffic to the construction site will be routed in such a way as to minimise disruption, and attempts will be made to bring as much material as possible by rail and at night. <p/> Mayor Bojan Kontič stressed the importance of the good cooperation of the Velenje Police Station and the Velenje Health Centre with those responsible for the Block 6 project. This is also due to the good and timely information provided to the police officers about the mode of transport of the cargo. The police officers ensure the safety of both our citizens and foreigners who come to work here. <p/> The Director of the Velenje Health Centre, Jože Zupančič, is negotiating with those in charge at Alstom about the provision of health services for foreigners coming to work in the valley. He said that the health centre will make sure that an emergency medical team will be available as close as possible to the construction site during the operating hours. A new doctor has also been recruited at the Šoštanj Health Station and will be available to deal with the expected increase in the number of patients. <p/> The Block 6 Project Director concluded by stressing that if the Government of the Republic of Slovenia does not adopt the Act on the State Guarantee for the Loans for Block 6 of the Šoštanj Thermal Power Plant by tomorrow, 15 February 2012, the Block 6 project may also come to a halt. <p/> Under Other Business, the Director of the Centre for Social Work Velenje, Zlatka Srdoč Majer, presented current information on the Centre's activities. It is encouraging to note that recently there have been fewer incidents of domestic violence and fewer applications for social assistance. However, an evaluation of the effectiveness of the new social organisation will have to wait until the end of March. By then, they expect to have issued all the decisions for 3 140 applicants.",News
"INVITATION TO HIKE TO POHORJE <p/> The Association of Pensioners Žirovnica Hiking Section invites you to a hike to Pohorje on Tuesday 19/6-2012 Bus departs at 6.oo am from AP Rodina to AP Moste. The easy walk will take 4 to 5 hours. Registration is accepted by Drago Kajdiž at tel. 04 5801 469, gsm 031 535 799 <p/> edited by : Ferjan Janez Published : Sunday, 17 June 2012 07:14",Promotion
"Events -> 2013 -> Parish Pilgrimage to Sladka Gora <p/> This year's pilgrimage route took us to Sladka Gora. <p/> A pilgrimage is a journey to the Lord, a walk on the stairs, increasing with each step the longing to touch the Heart and to rest in the Embrace. The soul is freed from the countless layers that bind and suffocate it, which is why the preparation for the Sacrament of Reconciliation is always so good for it. Ready to meet the Lord, we celebrated Holy Mass in the beautiful Baroque pilgrimage church of the Mother of God in Sladka Gora, Styria, with a men's choir made up of pilgrims singing. <p/> We were not only moved by the beautiful interior of the church, but also by the address of Pastor Andrew, who invited us to open our hearts to the point where we could ""be here"" with our whole being, soul and body, experiencing and fully accepting all that was placed before us; to forge bonds and friendships with people and with God. After the Holy Mass, the local parish priest gave us a historical outline of the Shrine and the life connected with it. <p/> The garden in front of the church was quite lively as the Oratory was taking place. <p/> We gathered again on the bus that took us to Šmarje pri Jelšah, where a good lunch was waiting for us. <p/> After lunch we went up to Calvary. The Way of Suffering, which leads to the pilgrimage church of St. Roko, is considered to be the most extensive Passion complex in Slovenia. It was built between 1743 and 1753. It leads the pilgrim between the chapels, so that he can always see only his next destination. Looking down into the valley, one sees the town and the unique image of the varied wine-growing landscape, from the border mountains of Styria and Carinthia to Pohorje, Boč and Donat, Macel and Zagorje in Croatia, to Bohorje, Hume and the Savinja Valley. <p/> Entering the Church of St. Roko, we had a new surprise. The massive exterior of the church, built in 1646, is in stark contrast to its richly decorated interior, where shell and net shapes, angel heads and flower branches intertwine. The pilgrimage tradition is still alive at St. Roch. On 15 August, the feast of the patron saint of the parish, Our Lady of the Assumption, and on 16 August, the feast of St. Rocco, several thousand people gather here. St. Rok is part of the pilgrimage triad, Sladka Gora - Tin Tin - St. Rok. The church is very acoustic, which is why concerts are held there. <p/> The first raindrops fell, and the bus took us to the most beautifully landscaped village in Europe, Olimje. <p/> Here we visited the Minorite monastery and learned about its history. <p/> In the Old Pharmacy we admired the frescoes by Anton Lerchinger, which speak of the path to health and happiness. We wandered into a shop with herbal preparations, teas, tinctures and ointments that help maintain health. We were overwhelmed by the image of the Pilgrimage House of St. Joseph and the park for rest and relaxation. We walked through the garden of medicinal plants where ""for every disease there is a flower"". The walking path leads between beds with around 200 specimens of medicinal plants named with Slovenian and Latin names, which grow in our gardens, meadows, marshes and forests, and are used for teas, salves and tinctures. Each plant is also labelled with its medicinal properties. <p/> In Olimje, we couldn't pass by the Chocolate Factory and its delicacies. We were drawn in, our eyes were big and our sweet tooth was irrepressible! <p/> At the end of our pilgrimage, in the beautiful Baroque pilgrimage church of the Assumption with its black and gold altars, we prayed the fifth Litany of the Mother of God and celebrated the National Day with a cultural programme in the courtyard of the monastery. <p/> On our way home, we passed through Trojany. Here we had a delicious doughnut or ice cream. We were happy and satisfied on our way back home, grateful to Pastor Andrew for leading and organising a wonderful pilgrimage that filled our hearts and souls. <p/> JP <p/> Photos.",Opinion/Argumentation
"Senica faces 10 years in prison for Delamaris <p/> A judicial inquiry has been opened at the Celje District Court in the Delamaris case. In the case, lawyer Mir Senić is accused of having wrongly received a commission of €1.3 million from Vegrad. <p/> Miro Senica, an influential Ljubljana lawyer, is officially under criminal investigation and faces up to ten years in prison. The lawyer is under investigation for alleged abuse of position and money laundering in the notorious Delamaris case, in which he allegedly received €1.3 million from Vegrad, reports today's Dnevnik daily. <p/> ""In this respect, we can only stress that Mr Miro Senica is convinced that all the suspicions against him are groundless and unfounded, which will undoubtedly be revealed when the investigation is completed,"" the law firm of Mr Senica told siol.net. <p/> Senica spent money on a villa in Portorož <p/> The controversial deal allegedly took place in 2007. Vegrad from Velenje bought the Delamaris fish processing plant in Isola for €22 million. The land was to be used for the Urban Renewal Izola project. Vegrad paid a commission of 1.35 million. This ended up in the account of Bužekijan, a company led by Blanka Muster, one of Senica's colleagues. In reality, the money ended up with Senica, who used it to buy a villa in Portorož. This is now owned by his daughter, Marusa Senica. <p/> In addition to Senica, the investigating judge will also question the former First Lady of Vegrad, Hilda Tovšak, the lawyer's daughter, Marusa Senica, as well as his colleagues Blanka Muster and Olga Zaviršek.",News
"Today, the Minister of Culture, Majda Širca, opened the exhibition Drawing in Slovenia II 1940-2009 at the Museum of Contemporary Art (MCA) in Zagreb, which presents the works of around 100 Slovenian artists. It is a selection of drawings from the exhibition of the same name, which was held last year at the City Gallery of Ljubljana. <p/> Drawing is one of the most daring, challenging and exciting genres within the field of art, because it confronts us with a very demanding and responsible gesture that we must not miss, a gesture that is unique and which, on the other hand, is often a matrix, a basis or a point of departure for other artistic practices, Širčeva said about the importance of drawings. These, she believes, have been lost, especially today, in the many postmodernist artistic genres. <p/> She stressed the importance of the exhibition for Slovenian art, as well as the outstanding cooperation with Croatia in the field of culture. The Croatian Minister of Culture, Bozo Biskupic, also pointed out at the opening that the Slovenian exhibition is a celebration of community and mutual understanding. He recalled that the three giants of Slovenian and European art - Zoran Mušić, Gabriel Stupica and Marij Pregelj - are a symbol of a common cultural centre, having studied at the Academy of Fine Arts in Zagreb. <p/> It is the drawings of this trio that open the exhibition, said its curator and art historian Aleksandar Bassin, who said that drawing has never been a trendy exclusive. The exhibition, he said, is arranged according to the artists' ages, not their works. After the three artists mentioned, the works of selected artists follow, from sculptors and printmakers to painters of the middle generation. <p/> In the last part of the exhibition, there are young people who were born in the 1970s or 1980s, and it is they who, according to Bassin, most express the future of drawing, which is consciously and unencumbered living its full artistic life. <p/> Until 21 September, drawings created in various artistic techniques will be on display, providing both a representative insight into Slovenian artistic drawing of the last 70 years and the continuity of drawing as an independent chapter of Slovenian fine art. <p/> The Zagreb exhibition is also accompanied by a comprehensive monograph with interpretative critical commentaries on each artist.",News
"Caracinids <p/> They have no common body feature by which they can be definitely identified.They are elongate in shape, and the size of the head is small relative to the body. The size varies widely, from less than a centimetre to over half a metre. The colour diversity is equally varied, with over 1000 species known. <p/> This family is characterised by gentle and peaceful representatives (e.g. various species of tetras - neonids, fireflies, serpa....).On the other hand, this family includes true predators, with an extremely strongly developed jaw and sharp teeth (e.g. most species of piranha).The caracinids are gregarious fish, living either in large schools or small groups, but in any case they are not solitary. The vast majority of caracinids are characterised by their vibrant colours and peaceful cohabitation with other aquarium inhabitants. However, they are also a highly predatory species, characterised by aggressiveness, as they generally do not tolerate competition in their vicinity. They breed freely, which means that they deposit their eggs freely in the water.They usually do not care about their offspring and most often eat most of the eggs themselves.If we want to breed them, we have to make sure that the parents do not get to the eggs.In professional breeding, special nets are used for this purpose, but it is enough to put a little thicker aquarium sand at the bottom of the spawning aquarium, among which the eggs fall after spawning. <p/> Serpa is a fiery red colour, the colouration depends largely on the conditions in which it lives, in darker aquariums its colour is more pronounced.It is a pronounced schooling fish, which grows up to 4 cm. <p/> A beautiful fish that has been known in the aquarium trade since 2007 and overnight became the No.1 fish in the aquarium world.",Information/Explanation
